Target,Model,Best ROC-AUC,C,class_weight,dual,fit_intercept,intercept_scaling,l1_ratio,max_iter,multi_class,n_jobs,penalty,random_state,solver,tol,verbose,warm_start
NR-AR,LogisticRegression,0.7971931543776047,0.008260808399079602,balanced,False,True,1,,1000,auto,,l2,,lbfgs,0.0001,0,False
NR-AR-LBD,LogisticRegression,0.8516843851620536,0.011526449540315611,balanced,False,True,1,,1000,auto,,l2,,lbfgs,0.0001,0,False
NR-AhR,LogisticRegression,0.8802950844500043,0.03320559103751957,balanced,False,True,1,,1000,auto,,l2,,lbfgs,0.0001,0,False
NR-Aromatase,LogisticRegression,0.8199410510685112,0.011526449540315611,balanced,False,True,1,,1000,auto,,l2,,lbfgs,0.0001,0,False
NR-ER,LogisticRegression,0.7186460477566777,0.008260808399079602,balanced,False,True,1,,1000,auto,,l2,,lbfgs,0.0001,0,False
NR-ER-LBD,LogisticRegression,0.7913802816901409,0.028585493941961904,balanced,False,True,1,,1000,auto,,l2,,lbfgs,0.0001,0,False
NR-PPAR-gamma,LogisticRegression,0.7758668471725156,0.011526449540315611,balanced,False,True,1,,1000,auto,,l2,,lbfgs,0.0001,0,False
SR-ARE,LogisticRegression,0.7652968836827287,0.03320559103751957,balanced,False,True,1,,1000,auto,,l2,,lbfgs,0.0001,0,False
SR-ATAD5,LogisticRegression,0.8213612946577544,0.028585493941961904,balanced,False,True,1,,1000,auto,,l2,,lbfgs,0.0001,0,False
SR-HSE,LogisticRegression,0.7450559737884614,0.028585493941961904,balanced,False,True,1,,1000,auto,,l2,,lbfgs,0.0001,0,False
SR-MMP,LogisticRegression,0.8638968189432698,0.07459343285726545,balanced,False,True,1,,1000,auto,,l2,,lbfgs,0.0001,0,False
SR-p53,LogisticRegression,0.8090428827028197,0.028585493941961904,balanced,False,True,1,,1000,auto,,l2,,lbfgs,0.0001,0,False
