Target,Model,Best ROC-AUC,C,break_ties,cache_size,class_weight,coef0,decision_function_shape,degree,gamma,kernel,max_iter,probability,random_state,shrinking,tol,verbose
NR-AR,SVM,0.8022986704531607,0.16480446427978965,False,200,balanced,0.0,ovr,3,0.012561043700013555,rbf,-1,True,,True,0.001,False
NR-AR-LBD,SVM,0.874323592259235,2.5378155082656626,False,200,balanced,0.0,ovr,3,0.06796578090758153,rbf,-1,True,,True,0.001,False
NR-AhR,SVM,0.8921584116658092,2.5378155082656626,False,200,balanced,0.0,ovr,3,0.06796578090758153,rbf,-1,True,,True,0.001,False
NR-Aromatase,SVM,0.8245975647528825,0.16480446427978965,False,200,balanced,0.0,ovr,3,0.012561043700013555,rbf,-1,True,,True,0.001,False
NR-ER,SVM,0.7219578397078663,0.16480446427978965,False,200,balanced,0.0,ovr,3,0.012561043700013555,rbf,-1,True,,True,0.001,False
NR-ER-LBD,SVM,0.8049097548252477,2.5378155082656626,False,200,balanced,0.0,ovr,3,0.06796578090758153,rbf,-1,True,,True,0.001,False
NR-PPAR-gamma,SVM,0.8264981219588681,72.86653737491037,False,200,balanced,0.0,ovr,3,0.17123375973163968,rbf,-1,True,,True,0.001,False
SR-ARE,SVM,0.8105005752324678,2.5378155082656626,False,200,balanced,0.0,ovr,3,0.06796578090758153,rbf,-1,True,,True,0.001,False
SR-ATAD5,SVM,0.8398996689205038,2.5378155082656626,False,200,balanced,0.0,ovr,3,0.06796578090758153,rbf,-1,True,,True,0.001,False
SR-HSE,SVM,0.7754022444778949,2.5378155082656626,False,200,balanced,0.0,ovr,3,0.06796578090758153,rbf,-1,True,,True,0.001,False
SR-MMP,SVM,0.8851667032874774,2.5378155082656626,False,200,balanced,0.0,ovr,3,0.06796578090758153,rbf,-1,True,,True,0.001,False
SR-p53,SVM,0.8461136376630873,2.5378155082656626,False,200,balanced,0.0,ovr,3,0.06796578090758153,rbf,-1,True,,True,0.001,False
